ID DEPATAMENTO,DEPARTAMENTO,ID MUNICIPIO,MUNICIPIO,ID LOCALIDAD,LOCALIDAD,AÑO SERVICIO,MES SERVICIO,ENERGÍA ACTIVA,ENERGÍA REACTIVA,POTENCIA MÁXIMA,DÍA DE DEMANDA MÁXIMA,FECHA DE DEMANDA MÁXIMA,PROMEDIO DIARIO EN HORAS
27.0,CHOCÓ,27077,BAJO BAUDÓ,27077029.0,FIRME DE USARGA (BAJO BAUDÓ (PIZARRO) - CHOCÓ),2024,6,906.0,394.0,7.21,Domingo,06/30/2024 07:15:00 PM,5.51
27.0,CHOCÓ,27077,BAJO BAUDÓ,27077026.0,GUINEAL (BAJO BAUDÓ (PIZARRO) - CHOCÓ),2024,6,5274.0,2959.0,33.88,Domingo,06/02/2024 11:45:00 AM,8.09
27.0,CHOCÓ,27077,BAJO BAUDÓ,27077008.0,ORPUA (BAJO BAUDÓ - CHOCÓ),2024,6,648.0,170.0,6.24,Jueves,06/27/2024 07:15:00 PM,5.57
27.0,CHOCÓ,27077,BAJO BAUDÓ,27077000.0,PIZARRO (BAJO BAUDÓ - CHOCÓ),2024,6,233400.0,91021.0,448.8,Lunes,06/24/2024 07:30:00 PM,23.05
27.0,CHOCÓ,27077,BAJO BAUDÓ,27077916.0,TERRON (BAJO BAUDÓ - CHOCÓ),2024,6,5300.0,2263.0,27.79,Lunes,06/10/2024 11:45:00 AM,10.28
27.0,CHOCÓ,27099,BOJAYÁ,27099000.0,BELLAVISTA (BOJAYÁ (BELLAVISTA) - CHOCÓ),2024,6,91673.0,27162.0,265.98,Lunes,06/03/2024 06:15:00 PM,15.16
27.0,CHOCÓ,27099,BOJAYÁ,27099005.0,NAPIPI (BOJAYÁ - CHOCÓ),2024,6,9331.0,3096.0,60.8,Sábado,06/01/2024 07:00:00 PM,6.2
27.0,CHOCÓ,27099,BOJAYÁ,27099008.0,PUERTO CONTO (BOJAYÁ (BELLAVISTA) - CHOCO),2024,6,11489.0,3514.0,67.2,Viernes,06/21/2024 08:15:00 PM,8.01
27.0,CHOCÓ,27250,EL LITORAL DEL SAN JUAN,27250000.0,SANTA GENOVEVA DE DOCORDO (EL LITORAL DEL SAN JUAN - CHOCÓ),2024,6,31176.0,14902.0,253.7,Miércoles,06/05/2024 06:45:00 PM,5.26
27.0,CHOCÓ,27372,JURADO,27372000.0,JURADO (JURADO - CHOCÓ),2024,6,168917.0,56559.0,308.64,Sábado,06/01/2024 07:00:00 PM,24.0
27.0,CHOCÓ,27425,MEDIO ATRATO,27425000.0,BETE (MEDIO ATRATO - CHOCÓ),2024,6,16199.0,8094.0,64.0,Miércoles,06/19/2024 12:00:00 PM,11.39
27.0,CHOCÓ,27425,MEDIO ATRATO,27425008.0,SAN ROQUE (MEDIO ATRATO - CHOCÓ),2024,6,2241.0,971.0,20.47,Domingo,06/30/2024 08:15:00 PM,5.08
27.0,CHOCÓ,27495,NUQUÍ,27495001.0,ARUSÍ (NUQUÍ - CHOCO),2024,6,18961.0,7124.0,60.0,Sábado,06/01/2024 12:00:00 PM,15.3
