,ID MUNICIPIO,LATITUD,LONGITUD
0,5001,6.257590259,-75.61103107
1,5002,5.803728154,-75.43847353
2,5004,6.627569378,-76.08597756
3,5021,6.365534125,-75.09059702
4,5030,6.032921994,-75.7080031
5,5031,6.977788843,-74.9812393
6,5034,5.604993248,-75.94128391
7,5036,6.121430303,-75.71594966
8,5038,6.861498764,-75.358316
9,5040,7.193110778,-75.10848954
10,5042,6.535711576,-75.90426658
11,5044,6.293546613,-75.91736927
12,5045,7.86047815,-76.58236264
13,5051,8.611395262,-76.41478317
14,5055,5.708114524,-75.09469795
15,5059,6.163683758,-75.80995528
16,5079,6.443417935,-75.32924085
17,5086,6.665853953,-75.68621659
18,5088,6.358841086,-75.58973588
19,5091,5.727081285,-75.98689107
20,5093,6.185783612,-75.95649246
21,5101,5.840995666,-76.01065253
22,5107,7.111788462,-75.56223474
23,5113,6.80906489,-75.91206595
24,5120,7.665155105,-75.22369744
25,5125,6.423463639,-75.99351498
26,5129,6.054446841,-75.62642674
27,5134,7.036017478,-75.28766178
28,5138,6.814950023,-76.02689632
29,5142,6.33797388,-74.73354817
30,5145,5.555275296,-75.63082096
31,5147,7.757967437,-76.64374657
32,5148,5.978078841,-75.2635361
33,5150,6.754821442,-75.30590654
34,5154,7.867941792,-75.03501824
35,5172,7.631665644,-76.63964213
36,5190,6.550065431,-75.08254116
37,5197,6.005593074,-75.16015403
38,5206,6.376106187,-75.21785901
39,5209,6.057468678,-75.90014678
40,5212,6.351882893,-75.50075633
41,5234,6.992243782,-76.31426328
42,5237,6.492403905,-75.42227687
43,5240,6.326444922,-75.78331175
44,5250,7.704633351,-74.66427726
45,5264,6.594656004,-75.55913083
46,5266,6.154394922,-75.54686779
47,5282,5.887702934,-75.67926242
48,5284,6.691364773,-76.33199656
49,5306,6.663095863,-75.94804663
50,5308,6.379745895,-75.44795744
51,5310,6.709562839,-75.19270291
52,5313,6.123380721,-75.12763646
53,5315,6.861576325,-75.22591303
54,5318,6.266625703,-75.43730801
55,5321,6.236329826,-75.15651272
56,5347,6.214511788,-75.74971002
57,5353,5.797039002,-75.90669203
58,5360,6.179279438,-75.6142037
59,5361,7.341549718,-75.67842277
60,5364,5.574444339,-75.81842575
61,5368,5.769820536,-75.76488256
62,5376,5.992524843,-75.43086935
63,5380,6.137595883,-75.64895499
64,5390,5.746583958,-75.60220206
65,5400,5.940434685,-75.35429023
66,5411,6.723990935,-75.78300046
67,5425,6.534573585,-74.71410854
68,5440,6.18520515,-75.30487933
69,5467,5.916853903,-75.51972693
70,5475,6.828773855,-76.70861349
71,5480,7.329557848,-76.4630657
72,5483,5.581275312,-75.19457019
73,5490,8.493728551,-76.67699588
74,5495,7.983477394,-74.65844186
75,5501,6.611418083,-75.77567097
76,5541,6.232396368,-75.22350906
77,5543,7.044180058,-75.88968843
78,5576,5.80970186,-75.86076667
79,5579,6.481922267,-74.5287421
80,5585,6.126539139,-74.70317722
81,5591,5.954830151,-74.6861918
82,5604,6.997267375,-74.55865652
83,5607,6.053444254,-75.51573805
84,5615,6.150785807,-75.41076052
85,5628,6.901000506,-75.79222754
86,5631,6.138305183,-75.60880599
87,5642,5.970502334,-75.98137251
88,5647,6.918427233,-75.6657758
89,5649,6.193789659,-74.90732769
90,5652,5.840093731,-74.98176334
91,5656,6.438300409,-75.70310727
92,5658,6.823258913,-75.67770826
93,5659,8.707141583,-76.53248234
94,5660,6.024205956,-75.0076674
95,5664,6.458666308,-75.5624839
96,5665,8.37915695,-76.31664233
97,5667,6.31074453,-74.99858652
98,5670,6.466165211,-74.9450732
99,5674,6.310387522,-75.32740163
100,5679,5.878984956,-75.58330371
101,5686,6.675827825,-75.43814333
102,5690,6.481044132,-75.14260097
103,5697,6.124209495,-75.25212278
104,5736,7.26692339,-74.62163926
105,5756,5.826388779,-74.83637623
106,5761,6.520164552,-75.74580903
107,5789,5.673758571,-75.70979974
108,5790,7.488875998,-75.40189438
109,5792,5.871064557,-75.82871144
110,5809,6.058349971,-75.79966005
111,5819,7.016397069,-75.71363382
112,5837,8.173851745,-76.5740377
113,5842,6.913916924,-76.13318514
114,5847,6.33534134,-76.25906482
115,5854,7.265404213,-75.40094502
116,5856,5.651937802,-75.63083412
117,5858,6.836535122,-74.7540302
118,5861,5.956576355,-75.77722423
119,5873,6.453351334,-76.69504802
120,5885,6.716870679,-74.75565002
121,5887,6.9881309,-75.45439957
122,5890,6.64442786,-75.02990266
123,5893,6.925159318,-74.15824041
124,5895,7.474004006,-74.85848326
125,8001,10.98152051,-74.82771544
126,8078,10.79329302,-74.92219491
127,8137,10.38405079,-74.88466039
128,8141,10.48902047,-74.87756627
129,8296,10.89771991,-74.88708788
130,8372,10.82306503,-75.07841904
131,8421,10.63503116,-75.15402741
132,8433,10.84828864,-74.80617555
133,8436,10.45414555,-74.98477367
134,8520,10.69481208,-74.7701509
135,8549,10.74078959,-75.14366034
136,8558,10.76740141,-74.85414844
137,8560,10.59465102,-74.79847316
138,8573,11.0044226,-74.9074058
139,8606,10.50757051,-75.12188053
140,8634,10.79894015,-74.7687966
141,8638,10.62250777,-74.95510542
142,8675,10.35364192,-74.96541179
143,8685,10.75562656,-74.78726468
144,8758,10.9069066,-74.7784249
145,8770,10.31085035,-74.90713308
146,8832,10.90721938,-74.98423293
147,8849,10.74052266,-74.98267413
148,11001,4.316107698,-74.1810727
149,13001,10.46343362,-75.45889915
150,13006,8.622943262,-74.47805945
151,13030,8.757468863,-74.19515811
